Sensor ID, F22AF15072C9
Timestamp,2017-10-21 11:37:18
Samples,16382
Interval,500ms

Sample #, Temperature, Humidity, Lux, Acc X, Acc Y, Acc Z
2017-10-21 11:39:59,24.0,69.6,8.0,0.39,-0.22,0.93
2017-10-21 11:39:59,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:40:00,24.0,69.6,8.0,0.38,-0.22,0.93
2017-10-21 11:40:00,23.9,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:40:01,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:40:01,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:40:02,23.9,69.6,8.0,0.38,-0.22,0.93
2017-10-21 11:40:02,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:40:03,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:40:03,23.9,69.6,8.0,0.34,-0.22,0.93
2017-10-21 11:40:04,24.0,69.6,8.0,0.39,-0.22,0.93
2017-10-21 11:40:04,24.0,69.6,8.0,0.38,-0.22,0.93
2017-10-21 11:40:05,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:40:05,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:40:06,23.9,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:40:06,23.9,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:40:07,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:40:07,24.0,69.6,8.0,0.38,-0.22,0.93
2017-10-21 11:40:08,23.9,69.6,9.0,0.36,-0.22,0.93
2017-10-21 11:40:08,23.9,69.6,8.0,0.38,-0.22,0.93
2017-10-21 11:40:09,23.9,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:40:09,23.9,69.6,9.0,0.39,-0.22,0.93
2017-10-21 11:40:10,23.9,69.6,8.0,0.38,-0.22,0.93
2017-10-21 11:40:10,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:40:11,23.9,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:40:11,23.9,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:40:12,23.9,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:40:12,23.9,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:40:13,23.9,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:40:13,23.9,69.6,9.0,0.37,-0.22,0.93
2017-10-21 11:40:14,23.9,69.6,9.0,0.37,-0.22,0.93
2017-10-21 11:40:14,23.9,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:40:15,23.9,69.6,9.0,0.37,-0.22,0.93
2017-10-21 11:40:15,23.9,69.6,8.0,0.38,-0.22,0.93
2017-10-21 11:40:16,23.9,69.6,9.0,0.36,-0.22,0.93
2017-10-21 11:40:16,23.9,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:40:17,23.9,69.6,9.0,0.36,-0.22,0.93
2017-10-21 11:40:17,23.9,69.6,9.0,0.37,-0.22,0.93
2017-10-21 11:40:18,23.9,69.6,9.0,0.37,-0.22,0.93
