Sensor ID, F8EA1B26FF86,,,,,
Timestamp,2017/10/21 11:36,,,,,
Samples,16382,,,,,
Interval,500ms,,,,,
,,,,,,
Sample #, Temperature, Humidity, Lux, Acc X, Acc Y, Acc Z
11:37:20,22.7,91.2,8,-0.3,-0.04,0.99
11:37:20,22.7,91.2,8,-0.3,-0.03,0.99
11:37:21,22.7,91.2,8,-0.3,-0.04,1
11:37:21,22.7,91.2,8,-0.3,-0.04,1
11:37:22,22.7,91.2,8,-0.3,-0.04,0.99
11:37:22,22.7,91.2,8,-0.3,-0.04,1
11:37:23,22.7,91.2,8,-0.3,-0.04,1
11:37:23,22.7,91.2,8,-0.3,-0.04,0.99
11:37:24,22.7,91.2,8,-0.3,-0.04,1
11:37:24,22.7,91.2,8,-0.3,-0.04,0.99
11:37:25,22.7,91.2,8,-0.3,-0.04,1
11:37:25,22.7,91.2,8,-0.3,-0.04,1
11:37:26,22.7,91.2,8,-0.3,-0.04,1
11:37:26,22.7,91.2,8,-0.3,-0.04,0.99
11:37:27,22.7,91.2,8,-0.3,-0.04,1
11:37:27,22.7,91.2,8,-0.3,-0.04,0.99
11:37:28,22.7,91.2,8,-0.3,-0.04,0.99
11:37:28,22.7,91.2,8,-0.3,-0.04,0.99
11:37:29,22.7,91.2,8,-0.3,-0.04,0.99
11:37:29,22.7,91.2,8,-0.3,-0.04,0.99
11:37:30,22.7,91.2,8,-0.3,-0.04,0.99
11:37:30,22.7,91.2,8,-0.3,-0.04,1
11:37:31,22.7,91.2,8,-0.3,-0.04,0.99
11:37:31,22.7,91.2,8,-0.3,-0.04,0.99
11:37:32,22.7,91.2,8,-0.3,-0.04,0.99
11:37:32,22.7,91.2,8,-0.3,-0.04,0.99
11:37:33,22.7,91.2,8,-0.3,-0.04,1
11:37:33,22.7,91.2,8,-0.3,-0.04,1
11:37:34,22.7,91.2,8,-0.3,-0.04,0.99
11:37:34,22.7,91.2,8,-0.3,-0.03,0.99
11:37:35,22.7,91.2,8,-0.3,-0.04,1
11:37:35,22.7,91.2,8,-0.3,-0.04,1
11:37:36,22.7,91.2,8,-0.3,-0.04,0.99
11:37:36,22.7,91.2,8,-0.3,-0.04,0.99
11:37:37,22.7,91.2,8,-0.3,-0.04,1
11:37:37,22.7,91.1,8,-0.3,-0.04,0.99
11:37:38,22.7,91.2,8,-0.3,-0.04,0.99
11:37:38,22.7,91.2,8,-0.3,-0.04,1
11:37:39,22.7,91.2,8,-0.3,-0.03,0.99
11:37:39,22.7,91.2,8,-0.3,-0.04,0.99
11:37:40,22.7,91.2,8,-0.3,-0.04,1
11:37:40,22.7,91.2,8,-0.3,-0.04,0.99
11:37:41,22.7,91.2,8,-0.3,-0.04,1
11:37:41,22.7,91.1,8,-0.3,-0.04,0.99
11:37:42,22.7,91.2,8,-0.3,-0.04,1
11:37:42,22.7,91.2,8,-0.3,-0.04,1
11:37:43,22.7,91.1,8,-0.3,-0.04,1
11:37:43,22.7,91.1,8,-0.3,-0.04,0.99
11:37:44,22.7,91.2,8,-0.3,-0.04,0.99
11:37:44,22.7,91.1,8,-0.3,-0.04,0.99
11:37:45,22.7,91.1,8,-0.3,-0.04,0.99
11:37:45,22.7,91.2,8,-0.3,-0.04,0.99
11:37:46,22.7,91.1,8,-0.3,-0.04,0.99
11:37:46,22.7,91.1,8,-0.3,-0.04,1
11:37:47,22.7,91.1,8,-0.3,-0.04,1
11:37:47,22.7,91.1,8,-0.3,-0.04,0.99
11:37:48,22.7,91.1,8,-0.3,-0.04,1
11:37:48,22.7,91.1,8,-0.3,-0.04,0.99
11:37:49,22.7,91.1,8,-0.3,-0.04,1
11:37:49,22.7,91.1,8,-0.3,-0.04,1
11:37:50,22.7,91.1,8,-0.3,-0.04,0.99
11:37:50,22.7,91.1,8,-0.3,-0.04,0.99
11:37:51,22.7,91.1,8,-0.3,-0.04,1
11:37:51,22.7,91.1,8,-0.3,-0.04,0.99
11:37:52,22.7,91.1,8,-0.3,-0.04,1
11:37:52,22.7,91.1,8,-0.3,-0.04,0.99
11:37:53,22.7,91.1,8,-0.3,-0.04,1
11:37:53,22.7,91.1,8,-0.3,-0.04,0.99
11:37:54,22.7,91.1,8,-0.3,-0.04,0.99
11:37:54,22.7,91.1,8,-0.3,-0.04,1
11:37:55,22.7,91.1,8,-0.3,-0.04,0.99
11:37:55,22.7,91.1,8,-0.3,-0.04,1
11:37:56,22.7,91.1,8,-0.3,-0.04,1
11:37:56,22.7,91.1,8,-0.3,-0.04,0.99
11:37:57,22.7,91.1,8,-0.3,-0.04,1
11:37:57,22.7,91.1,8,-0.3,-0.04,1
11:37:58,22.7,91.1,8,-0.3,-0.04,1
11:37:58,22.7,91.1,8,-0.3,-0.04,0.99
11:37:59,22.7,91.1,8,-0.3,-0.04,0.99
11:37:59,22.7,91.1,8,-0.3,-0.04,0.99
11:38:00,22.7,91.1,8,-0.3,-0.04,0.99
11:38:00,22.7,91.1,8,-0.3,-0.04,0.99
11:38:01,22.7,91.1,8,-0.3,-0.04,1
11:38:01,22.7,91.1,8,-0.3,-0.04,1
11:38:02,22.6,91.1,8,-0.3,-0.04,0.99
11:38:02,22.7,91.1,8,-0.3,-0.04,1
11:38:03,22.7,91.1,8,-0.3,-0.03,0.99
11:38:03,22.6,91.1,8,-0.3,-0.04,1
